AGENCY_NAME,FORCE_RATE_PER_100_STOPS,USE_FORCE_FIREARM_POINT_FREQ,USE_FORCE_FIREARM_DISCHARGE_FREQ,USE_FORCE_BATON_FREQ,USE_FORCE_CHEM_SPRAY_FREQ,USE_FORCE_IMPACT_DISCHARGE_FREQ,USE_FORCE_CANINE_BITE_FREQ,USE_FORCE_ELECT_DEVICE_FREQ,USE_FORCE_OTHER_CONTACT_FREQ
"CHP-HQ A/C, STAFF",0.06057550601352208,49.201277955271564,2.5559105431309903,0.9584664536741214,0,1.7571884984025559,2.8753993610223643,8.945686900958465,41.853035143769965
LAPD,1.1684651049509773,83.1723436705643,0.9150991357397051,0.4321301474326385,0.27961362480935437,1.3472292831723438,0.5592272496187087,2.8978139298423997,13.777325876970007
LOS ANGELES CO SD,1.5962235152047426,30.903255387436957,0.32095369096744614,0.2751031636863824,2.613480055020633,0.5960568546538285,0.22925263640531865,1.925722145804677,64.92434662998625
RIVERSIDE CO SO,0.647118301314459,61.111111111111114,0.3472222222222222,1.7361111111111112,4.166666666666666,0.3472222222222222,0.3472222222222222,1.3888888888888888,35.76388888888889
SAN BERNARDINO CO SO,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAN DIEGO CO SO,0.9749475502900161,39.49367088607595,0.25316455696202533,1.0126582278481013,3.0379746835443036,1.5189873417721518,1.7721518987341773,4.556962025316456,55.18987341772152
SAN DIEGO PD,1.6332234084176402,22.10814510609172,0.06844626967830253,0.7529089664613279,6.639288158795345,0.7529089664613279,0.8898015058179329,3.285420944558522,71.93702943189597
SAN FRANCISCO PD - DOC,1.8738144622312043,23.841059602649008,0.1892147587511826,3.5004730368968775,1.7975402081362346,0.8514664143803218,0,0.0946073793755913,74.55061494796594
